rsi_length,n_ventana,rsi_buy_trigger,rsi_sell_trigger,floor_pct,factor_caida,factor_subida,pct_ath_proyectado,guardia_compra,guardia_precio_compra,guardia_precio_venta,usdt_reserva_pct,btc_acumula_pct,prof_zona_pct,pnl_pct,portfolio_final,usdt_final,btc_libre,btc_en_pos,btc_total,n_pos_final,total_compras,total_ventas,total_trades,ordenes_canceladas,max_drawdown,btc_total_usd,pnl_norm,btc_norm,port_norm,combo_score
14,20,20,90,15,3.5,1.5,500,False,False,True,0,0,0.0,456.5214,5565.21,1.78,0.0,0.04454275,0.04454275,77,78,1,79,8,32.29,5563.4308997575,0.8651666809043539,0.8828131173449228,0.8651556734946115,0.870458410354576
14,20,20,90,15,3.5,1.5,500,False,False,False,0,0,0.0,456.5214,5565.21,1.78,0.0,0.04454275,0.04454275,77,78,1,79,8,32.29,5563.4308997575,0.8651666809043539,0.8828131173449228,0.8651556734946115,0.870458410354576
14,20,20,90,15,3.5,1.5,350,False,False,True,0,1,0.0,456.4993,5564.99,1.84,8e-07,0.04453971,0.04454051,77,78,1,79,8,32.29,5563.151121674299,0.8647649963739336,0.8823214364107289,0.8647558116287103,0.8700300914359275
14,20,20,90,15,3.5,1.5,350,False,False,False,0,1,0.0,456.4993,5564.99,1.84,8e-07,0.04453971,0.04454051,77,78,1,79,8,32.29,5563.151121674299,0.8647649963739336,0.8823214364107289,0.8647558116287103,0.8700300914359275
14,20,20,90,15,3.5,1.5,350,False,False,True,0,0,0.0,456.4985,5564.99,1.84,0.0,0.04454043,0.04454043,77,78,1,79,8,32.29,5563.1411295999,0.8647504557574474,0.882303876377365,0.8647558116287103,0.8700175531176753
14,20,20,90,15,3.5,1.5,350,False,False,False,0,0,0.0,456.4985,5564.99,1.84,0.0,0.04454043,0.04454043,77,78,1,79,8,32.29,5563.1411295999,0.8647504557574474,0.882303876377365,0.8647558116287103,0.8700175531176753
14,30,20,90,15,3.5,1.5,500,True,False,False,0,1,0.0,456.4807,5564.81,4.35,6.6e-07,0.04451826,0.04451892,30,31,1,32,8,33.32,5560.4545105955995,0.8644269270406392,0.8775824224066019,0.864428651920247,0.8683739206263495
14,30,20,90,15,3.5,1.5,500,True,False,True,0,1,0.0,456.4807,5564.81,4.35,6.6e-07,0.04451826,0.04451892,30,31,1,32,8,33.32,5560.4545105955995,0.8644269270406392,0.8775824224066019,0.864428651920247,0.8683739206263495
14,30,20,90,15,3.5,1.5,500,True,False,False,0,0,0.0,456.4784,5564.78,4.36,0.0,0.04451869,0.04451869,30,31,1,32,8,33.32,5560.4257833817,0.8643851227682426,0.8775319373106809,0.8643741253021684,0.8683269676377593
14,30,20,90,15,3.5,1.5,500,True,False,True,0,0,0.0,456.4784,5564.78,4.36,0.0,0.04451869,0.04451869,30,31,1,32,8,33.32,5560.4257833817,0.8643851227682426,0.8775319373106809,0.8643741253021684,0.8683269676377593
14,30,20,90,15,3.5,1.5,350,True,False,False,0,1,0.0,456.3893,5563.89,4.6,9.2e-07,0.04450874,0.04450966,30,31,1,32,8,33.32,5559.2979279838,0.8627656616071375,0.8755498485447122,0.8627565022992069,0.8665990858268238
14,30,20,90,15,3.5,1.5,350,True,False,True,0,1,0.0,456.3893,5563.89,4.6,9.2e-07,0.04450874,0.04450966,30,31,1,32,8,33.32,5559.2979279838,0.8627656616071375,0.8755498485447122,0.8627565022992069,0.8665990858268238
14,30,20,90,15,3.5,1.5,350,True,False,False,0,0,0.0,456.3861,5563.86,4.6,0.0,0.04450933,0.04450933,30,31,1,32,8,33.32,5559.256710676899,0.8627074991411946,0.8754774134070855,0.8627019756811283,0.8665373687289486
14,30,20,90,15,3.5,1.5,350,True,False,True,0,0,0.0,456.3861,5563.86,4.6,0.0,0.04450933,0.04450933,30,31,1,32,8,33.32,5559.256710676899,0.8627074991411946,0.8754774134070855,0.8627019756811283,0.8665373687289486
14,30,20,90,15,3.5,1.5,500,True,True,True,0,1,0.0,455.6632,5556.63,68.93,4.79e-06,0.04393168,0.04393646,17,18,1,19,8,31.64,5487.704714907799,0.8495682345692253,0.7497322094911973,0.8495610607244778,0.8196159922768674
14,30,20,90,15,3.5,1.5,500,False,True,False,0,1,0.0,455.6632,5556.63,68.93,4.79e-06,0.04393168,0.04393646,17,18,1,19,8,31.64,5487.704714907799,0.8495682345692253,0.7497322094911973,0.8495610607244778,0.8196159922768674
14,30,20,90,15,3.5,1.5,500,False,True,True,0,1,0.0,455.6632,5556.63,68.93,4.79e-06,0.04393168,0.04393646,17,18,1,19,8,31.64,5487.704714907799,0.8495682345692253,0.7497322094911973,0.8495610607244778,0.8196159922768674
14,30,20,90,15,3.5,1.5,500,True,True,False,0,1,0.0,455.6632,5556.63,68.93,4.79e-06,0.04393168,0.04393646,17,18,1,19,8,31.64,5487.704714907799,0.8495682345692253,0.7497322094911973,0.8495610607244778,0.8196159922768674
14,30,20,90,15,3.5,1.5,500,False,True,True,0,0,0.0,455.6143,5556.14,69.04,0.0,0.04393168,0.04393168,17,18,1,19,8,31.64,5487.1076884624,0.8486794393865313,0.7486829974976954,0.8486704592958807,0.8186787108017504
14,30,20,90,15,3.5,1.5,500,True,True,False,0,0,0.0,455.6143,5556.14,69.04,0.0,0.04393168,0.04393168,17,18,1,19,8,31.64,5487.1076884624,0.8486794393865313,0.7486829974976954,0.8486704592958807,0.8186787108017504
14,30,20,90,15,3.5,1.5,500,False,True,False,0,0,0.0,455.6143,5556.14,69.04,0.0,0.04393168,0.04393168,17,18,1,19,8,31.64,5487.1076884624,0.8486794393865313,0.7486829974976954,0.8486704592958807,0.8186787108017504
14,30,20,90,15,3.5,1.5,500,True,True,True,0,0,0.0,455.6143,5556.14,69.04,0.0,0.04393168,0.04393168,17,18,1,19,8,31.64,5487.1076884624,0.8486794393865313,0.7486829974976954,0.8486704592958807,0.8186787108017504
14,20,20,90,15,3.5,1.5,350,True,True,False,0,1,0.0,454.5294,5545.29,93.38,9.21e-06,0.04364069,0.0436499,16,17,1,18,8,31.4,5451.913104406999,0.8289605458547428,0.6868321699811226,0.8289499990912235,0.7863199237399529
14,20,20,90,15,3.5,1.5,350,False,True,False,0,1,0.0,454.5294,5545.29,93.38,9.21e-06,0.04364069,0.0436499,16,17,1,18,8,31.4,5451.913104406999,0.8289605458547428,0.6868321699811226,0.8289499990912235,0.7863199237399529
14,20,20,90,15,3.5,1.5,350,False,True,True,0,1,0.0,454.5294,5545.29,93.38,9.21e-06,0.04364069,0.0436499,16,17,1,18,8,31.4,5451.913104406999,0.8289605458547428,0.6868321699811226,0.8289499990912235,0.7863199237399529
14,20,20,90,15,3.5,1.5,350,True,True,True,0,1,0.0,454.5294,5545.29,93.38,9.21e-06,0.04364069,0.0436499,16,17,1,18,8,31.4,5451.913104406999,0.8289605458547428,0.6868321699811226,0.8289499990912235,0.7863199237399529
14,20,20,90,15,3.5,1.5,350,False,True,True,0,0,0.0,454.4354,5544.35,93.59,0.0,0.04364069,0.04364069,16,17,1,18,8,31.4,5450.7627668417,0.8272520234176629,0.6848105711400858,0.827241498391466,0.7845174827291505
14,20,20,90,15,3.5,1.5,350,True,True,True,0,0,0.0,454.4354,5544.35,93.59,0.0,0.04364069,0.04364069,16,17,1,18,8,31.4,5450.7627668417,0.8272520234176629,0.6848105711400858,0.827241498391466,0.7845174827291505
14,20,20,90,15,3.5,1.5,350,False,True,False,0,0,0.0,454.4354,5544.35,93.59,0.0,0.04364069,0.04364069,16,17,1,18,8,31.4,5450.7627668417,0.8272520234176629,0.6848105711400858,0.827241498391466,0.7845174827291505
14,20,20,90,15,3.5,1.5,350,True,True,False,0,0,0.0,454.4354,5544.35,93.59,0.0,0.04364069,0.04364069,16,17,1,18,8,31.4,5450.7627668417,0.8272520234176629,0.6848105711400858,0.827241498391466,0.7845174827291505
14,30,20,90,15,3.5,1.5,350,False,True,False,0,1,0.0,453.8041,5538.04,73.07,6.63e-06,0.0437478,0.04375443,17,18,1,19,8,31.59,5464.968998619899,0.8157776594333157,0.7097765485754417,0.8157727330558538,0.7839763409004612
14,30,20,90,15,3.5,1.5,350,True,True,False,0,1,0.0,453.8041,5538.04,73.07,6.63e-06,0.0437478,0.04375443,17,18,1,19,8,31.59,5464.968998619899,0.8157776594333157,0.7097765485754417,0.8157727330558538,0.7839763409004612
14,30,20,90,15,3.5,1.5,350,False,True,True,0,1,0.0,453.8041,5538.04,73.07,6.63e-06,0.0437478,0.04375443,17,18,1,19,8,31.59,5464.968998619899,0.8157776594333157,0.7097765485754417,0.8157727330558538,0.7839763409004612
14,30,20,90,15,3.5,1.5,350,True,True,True,0,1,0.0,453.8041,5538.04,73.07,6.63e-06,0.0437478,0.04375443,17,18,1,19,8,31.59,5464.968998619899,0.8157776594333157,0.7097765485754417,0.8157727330558538,0.7839763409004612
14,30,20,90,15,3.5,1.5,350,True,True,False,0,0,0.0,453.7364,5537.36,73.22,0.0,0.0437478,0.0437478,17,18,1,19,8,31.59,5464.140905454,0.8145471597632059,0.7083212608103963,0.8145367963794324,0.7826773174006083
14,30,20,90,15,3.5,1.5,350,False,True,False,0,0,0.0,453.7364,5537.36,73.22,0.0,0.0437478,0.0437478,17,18,1,19,8,31.59,5464.140905454,0.8145471597632059,0.7083212608103963,0.8145367963794324,0.7826773174006083
