rank,rsi_length,N,pnl_pct,portfolio_final,total_trades,total_compras,total_ventas,max_racha_compras,max_racha_ventas,avg_racha_compras,avg_racha_ventas,positions_count_final,usdt_balance_final,btc_balance_final,btc_en_posiciones
659,10,35,-29.7715,702.2852,290,153,137,7,7,3.48,3.19,16,24.8816,0.0,0.04269401
660,10,17,-29.7828,702.1723,330,174,156,7,7,3.16,2.89,18,70.3782,0.0,0.03981942
661,9,45,-29.7911,702.0888,279,150,129,7,7,3.75,3.31,21,10.4016,0.0,0.04359425
662,9,44,-29.7915,702.0854,281,152,129,7,7,3.8,3.31,23,10.392,0.0,0.04359464
663,8,15,-29.794,702.0602,342,180,162,7,7,3.05,2.79,18,61.4268,0.0,0.04037653
664,10,34,-29.8171,701.8294,292,153,139,7,7,3.4,3.16,14,25.4821,0.0,0.04262743
665,10,33,-29.8181,701.8187,297,156,141,7,7,3.39,3.13,15,25.4593,0.0,0.0426282
666,10,32,-29.8182,701.8181,300,158,142,7,7,3.36,3.09,16,25.4542,0.0,0.04262848
667,10,37,-29.8283,701.7167,287,152,135,7,7,3.45,3.14,17,24.8486,0.0,0.04266026
668,10,16,-29.9203,700.7971,322,168,154,7,7,3.11,2.91,14,41.4416,0.0,0.04155651
669,9,18,-29.9275,700.7245,335,177,158,7,7,3.11,2.82,19,72.7765,0.0,0.03957702
670,10,36,-29.947,700.5296,289,154,135,7,7,3.5,3.14,19,24.7436,0.0,0.04259205
671,10,38,-29.9638,700.3624,284,151,133,7,7,3.6,3.24,18,21.9731,0.0,0.04275613
672,8,17,-29.9688,700.3123,346,183,163,7,7,3.05,2.76,20,65.3552,0.0,0.04001878
673,10,18,-30.0115,699.885,329,174,155,7,7,3.16,2.87,19,71.5423,0.0,0.0396019
674,8,18,-30.0586,699.4142,344,183,161,7,7,3.1,2.78,22,66.4066,0.0,0.03989591
675,11,22,-30.0793,699.2073,317,170,147,7,7,3.33,2.94,23,36.8361,0.0,0.04174657
676,11,50,-30.1343,698.6573,261,139,122,7,7,3.86,3.49,17,25.8546,0.0,0.04240403
677,11,49,-30.1349,698.6509,263,141,122,7,7,3.81,3.39,19,25.8532,0.0,0.04240371
678,10,50,-30.1706,698.2935,266,142,124,7,7,3.84,3.44,18,25.4837,0.0,0.04240448
679,10,49,-30.1942,698.0583,270,145,125,7,7,3.82,3.38,20,24.9964,0.0,0.04242037
680,8,14,-30.2302,697.6983,338,179,159,7,7,3.03,2.74,20,65.811,0.0,0.0398253
681,11,31,-30.4713,695.2872,290,152,138,7,7,3.38,3.14,14,49.9817,0.0,0.04067099
682,11,45,-30.4787,695.2134,270,144,126,7,7,3.6,3.23,18,25.5443,0.0,0.04220653
683,11,44,-30.479,695.2104,272,146,126,7,7,3.65,3.23,20,25.5365,0.0,0.04220683
684,10,45,-30.5374,694.6261,277,148,129,7,7,3.7,3.31,19,24.6976,0.0,0.04222288
685,10,44,-30.5382,694.6184,279,150,129,7,7,3.75,3.31,21,24.6747,0.0,0.04222384
686,8,16,-30.5627,694.3733,344,180,164,7,7,2.95,2.73,16,37.9647,0.0,0.04137078
687,10,31,-30.6696,693.3039,308,162,146,7,7,3.38,3.11,16,45.6648,0.0,0.04081807
688,11,16,-30.8548,691.4521,305,158,147,7,7,3.1,2.94,11,41.6239,0.0,0.04095604
689,11,17,-31.0152,689.8477,314,165,149,7,7,3.17,2.92,16,41.2391,0.0,0.04087918
690,11,18,-31.1775,688.2251,314,165,149,7,7,3.17,2.92,16,42.0456,0.0,0.04072608
