pct_caida_ath,pct_caida,pct_venta,floor_pct,pendiente,last_op_on_sell,pnl_pct,portfolio_final,usdt_final,btc_libre,btc_en_pos,btc_total,n_pos_final,total_compras,total_ventas,total_trades,max_drawdown,btc_libre_usd,btc_total_usd,pnl_norm,btcl_norm,btct_norm,combo_score
0.4,0.02,0.06,20,71,True,69.4795,1694.8,1000.0,0.01094867,-0.0,0.01094867,0,276,276,552,61.82,694.7949341310001,694.7949341310001,0.9423054041497162,0.9422832745231339,0.24466346153846183,0.8027703767394906
0.4,0.02,0.06,25,61,True,69.4536,1694.54,1000.0,0.0109446,0.0,0.0109446,0,279,279,558,61.81,694.53665478,694.53665478,0.9419385361542035,0.9419172844435333,0.2433589743589746,0.8022162482819567
0.4,0.03,0.06,25,86,True,69.4071,1694.07,1000.0,0.01093726,-0.0,0.01093726,0,179,179,358,61.63,694.0708635180001,694.0708635180001,0.9412798735367774,0.9412572433663174,0.24100641025641056,0.8012183918295661
0.4,0.02,0.035,25,91,True,69.3613,1693.61,1000.0,0.01093005,-0.0,0.01093005,0,304,304,608,61.37,693.6133219650001,693.6133219650001,0.9406311262705814,0.9406088923899242,0.23869551282051296,0.8002373334163706
0.4,0.025,0.055,30,81,True,69.3467,1693.47,1000.0,0.01092775,-0.0,0.01092775,0,175,175,350,62.02,693.467365575,693.467365575,0.9404243203734971,0.9404020675292163,0.2379583333333334,0.7999244471121801
0.4,0.015,0.05,30,86,True,69.3208,1693.21,1000.0,0.01092366,-0.0,0.01092366,0,176,176,352,62.68,693.207817038,693.207817038,0.9400574523779847,0.940034278972566,0.23664743589743598,0.7993684970602493
0.4,0.025,0.06,20,96,True,69.2638,1692.64,1000.0,0.01091468,0.0,0.01091468,0,198,198,396,61.84,692.637952524,692.637952524,0.9392500594921075,0.9392267627772801,0.2337692307692307,0.7981469047330839
0.4,0.025,0.06,30,71,True,69.1708,1691.71,1000.0,0.01090002,-0.0,0.01090002,0,199,199,398,61.82,691.707639186,691.707639186,0.9379327342572552,0.9379084790998982,0.22907051282051286,0.7961530134226996
0.4,0.025,0.05,20,91,True,69.1497,1691.5,1000.0,0.0108967,-0.0,0.0108967,0,247,247,494,61.61,691.4969543100001,691.4969543100001,0.9376338572416059,0.9376099319096589,0.2280064102564105,0.7957011902449826
0.4,0.02,0.06,15,81,True,69.1427,1691.43,1000.0,0.0108956,-0.0,0.0108956,0,290,290,580,61.73,691.42714908,691.42714908,0.9375347037293054,0.937511015671929,0.22765384615384626,0.7955514257970006
0.4,0.025,0.055,25,91,True,69.123,1691.23,1000.0,0.01089249,0.0,0.01089249,0,183,183,366,61.98,691.229790657,691.229790657,0.9372556574161163,0.9372313524907108,0.2266570512820512,0.7951286447116817
0.4,0.02,0.045,30,86,True,69.1215,1691.21,1000.0,0.01089225,0.0,0.01089225,0,215,215,430,62.27,691.214560425,691.214560425,0.9372344102349088,0.9372097707661152,0.22658012820512802,0.7950961619883146
