rank,floor_pct,factor_caida,factor_subida,portfolio_final,pnl_pct,btc_acumulado,btc_value,btc_ratio,bear_score,usdt_final,min_usdt,sobrevivio,total_compras,total_ventas,precio_prom_final
174,15,2.0,3.0,471.74,-52.826,0.02973152,471.73,1.0,0.014026,0.01,0.01,False,42,32,33870.67
175,25,2.5,3.0,463.53,-53.647,0.02921414,463.53,1.0,0.013542,0.0,0.0,False,38,42,34707.43
176,20,2.0,2.5,445.11,-55.489,0.02805374,445.11,1.0,0.012487,0.0,0.0,False,42,31,36066.73
177,25,1.5,1.0,440.71,-55.929,0.02777599,440.71,1.0,0.012241,0.0,0.0,False,38,16,36893.54
178,25,2.0,2.0,435.02,-56.498,0.02741759,435.02,1.0,0.011927,0.0,0.0,False,38,25,37157.23
179,10,1.5,2.0,434.1,-56.59,0.0273583,434.08,1.0,0.011876,0.02,0.02,False,42,22,36821.44
180,20,2.0,3.0,430.91,-56.909,0.02715873,430.91,1.0,0.011703,0.0,0.0,False,42,31,37024.49
181,15,1.5,1.5,424.42,-57.558,0.02674933,424.42,1.0,0.011353,0.0,0.0,False,42,18,37836.78
182,10,1.5,2.5,418.08,-58.192,0.02634906,418.07,1.0,0.011016,0.01,0.01,False,42,22,38061.68
183,10,1.5,3.0,412.04,-58.796,0.02596863,412.03,1.0,0.0107,0.01,0.01,False,42,22,38553.52
184,25,2.0,2.5,409.35,-59.065,0.02579981,409.35,1.0,0.010561,0.0,0.0,False,38,25,39062.86
185,25,2.0,3.0,399.06,-60.094,0.02515112,399.06,1.0,0.010037,0.0,0.0,False,38,25,39894.69
186,15,1.5,2.0,391.49,-60.851,0.02467388,391.49,1.0,0.00966,0.0,0.0,False,42,16,40668.12
187,15,1.5,2.5,382.15,-61.785,0.02408549,382.15,1.0,0.009204,0.0,0.0,False,42,16,41569.32
188,20,1.5,1.5,379.53,-62.047,0.02392042,379.53,1.0,0.009079,0.0,0.0,False,42,15,41985.72
189,15,1.5,3.0,379.08,-62.092,0.02389187,379.08,1.0,0.009057,0.0,0.0,False,42,16,41875.6
190,20,1.5,2.0,361.48,-63.852,0.02278266,361.48,1.0,0.008235,0.0,0.0,False,42,14,43938.85
191,20,1.5,2.5,357.7,-64.23,0.02254412,357.7,1.0,0.008064,0.0,0.0,False,42,14,44375.69
192,20,1.5,3.0,356.66,-64.334,0.02247889,356.66,1.0,0.008017,0.0,0.0,False,42,14,44495.9
193,25,1.5,1.5,345.86,-65.414,0.02179836,345.86,1.0,0.007539,0.0,0.0,False,38,12,45920.13
194,25,1.5,2.0,341.29,-65.871,0.02151037,341.29,1.0,0.007341,0.0,0.0,False,39,9,46510.74
195,25,1.5,2.5,340.47,-65.953,0.02145831,340.47,1.0,0.007306,0.0,0.0,False,38,9,46616.18
196,25,1.5,3.0,340.17,-65.983,0.02143982,340.17,1.0,0.007293,0.0,0.0,False,38,9,46652.36
197,10,1.0,1.0,329.01,-67.099,0.02073588,329.01,1.0,0.006822,0.0,0.0,False,42,6,48328.94
198,10,1.0,1.5,323.06,-67.694,0.02036147,323.06,1.0,0.006578,0.0,0.0,False,42,5,49174.75
199,10,1.0,2.0,321.4,-67.86,0.02025634,321.4,1.0,0.00651,0.0,0.0,False,42,5,49411.17
200,10,1.0,2.5,320.74,-67.926,0.020215,320.74,1.0,0.006484,0.0,0.0,False,42,5,49500.72
201,10,1.0,3.0,320.38,-67.962,0.02019245,320.38,1.0,0.006469,0.0,0.0,False,42,5,49547.81
202,15,1.0,1.0,316.33,-68.367,0.01993721,316.33,1.0,0.006307,0.0,0.0,False,42,5,50278.65
203,15,1.0,1.5,310.9,-68.91,0.01959449,310.9,1.0,0.006092,0.0,0.0,False,42,5,51110.67
204,15,1.0,2.0,309.36,-69.064,0.01949749,309.36,1.0,0.006032,0.0,0.0,False,42,5,51343.24
205,15,1.0,2.5,308.73,-69.127,0.01945805,308.73,1.0,0.006007,0.0,0.0,False,42,5,51433.38
206,15,1.0,3.0,308.38,-69.162,0.01943567,308.38,1.0,0.005993,0.0,0.0,False,42,4,51482.44
207,20,1.0,1.0,307.16,-69.284,0.0193589,307.16,1.0,0.005946,0.0,0.0,False,42,5,51792.99
208,20,1.0,1.5,302.12,-69.788,0.01904143,302.12,1.0,0.005753,0.0,0.0,False,42,5,52606.41
209,20,1.0,2.0,300.71,-69.929,0.01895264,300.71,1.0,0.005699,0.0,0.0,False,42,4,52828.55
210,20,1.0,2.5,300.11,-69.989,0.01891488,300.11,1.0,0.005677,0.0,0.0,False,42,4,52917.65
211,20,1.0,3.0,299.76,-70.024,0.01889263,299.76,1.0,0.005663,0.0,0.0,False,42,4,52967.8
212,25,1.0,1.0,299.76,-70.024,0.01889252,299.76,1.0,0.005663,0.0,0.0,False,38,5,53083.79
213,25,1.0,1.5,295.24,-70.476,0.01860751,295.24,1.0,0.005494,0.0,0.0,False,38,4,53845.15
214,25,1.0,2.0,293.94,-70.606,0.0185259,293.94,1.0,0.005446,0.0,0.0,False,38,4,54055.53
215,25,1.0,2.5,293.37,-70.663,0.01848978,293.37,1.0,0.005424,0.0,0.0,False,38,4,54142.23
216,25,1.0,3.0,293.02,-70.698,0.01846761,293.02,1.0,0.005411,0.0,0.0,False,38,4,54192.9
217,10,0.5,0.5,273.57,-72.643,0.01724204,273.57,1.0,0.004717,0.0,0.0,False,42,2,58439.85
218,10,0.5,1.0,272.66,-72.734,0.01718453,272.66,1.0,0.004685,0.0,0.0,False,42,2,58579.6
219,15,0.5,0.5,271.98,-72.802,0.01714153,271.98,1.0,0.004662,0.0,0.0,False,42,2,58827.76
220,10,0.5,1.5,271.66,-72.834,0.01712159,271.66,1.0,0.004651,0.0,0.0,False,42,2,58721.2
221,15,0.5,1.0,271.04,-72.896,0.01708236,271.04,1.0,0.00463,0.0,0.0,False,42,2,58969.62
222,20,0.5,0.5,270.85,-72.915,0.01707078,270.85,1.0,0.004624,0.0,0.0,False,42,2,59113.74
223,10,0.5,2.0,270.78,-72.922,0.01706609,270.78,1.0,0.004621,0.0,0.0,False,42,2,58842.68
224,10,0.5,2.5,270.07,-72.993,0.01702123,270.07,1.0,0.004597,0.0,0.0,False,42,2,58939.56
225,15,0.5,1.5,270.0,-73.0,0.01701729,270.0,1.0,0.004595,0.0,0.0,False,42,2,59113.4
226,25,0.5,0.5,270.0,-73.0,0.01701714,270.0,1.0,0.004595,0.0,0.0,False,38,2,59341.58
227,20,0.5,1.0,269.89,-73.011,0.01700986,269.89,1.0,0.004591,0.0,0.0,False,42,2,59257.96
228,10,0.5,3.0,269.52,-73.048,0.01698648,269.52,1.0,0.004578,0.0,0.0,False,42,2,59013.97
